player_id,name,club,status,match_score,ea_overall,detail
EVE10,James Garner,EVE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
EVE11,Kiernan Dewsbury-Hall,EVE,AMBIGUOUS(2),,
EVE11,Kiernan Dewsbury-Hall,EVE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
EVE12,Idrissa Gueye,EVE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
EVE13,Carlos Alcaraz,EVE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
EVE14,Hayden Hackney,EVE,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
EVE16,Iliman Ndiaye,EVE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
EVE17,Thierno Barry,EVE,AMBIGUOUS(2),,
EVE17,Thierno Barry,EVE,MATCHED,score=1.00,ea_overall=60,attrs_from_ea=25
EVE18,Jack Grealish,EVE,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
EVE19,Tyler Dibling,EVE,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
EVE20,Tyrique George,EVE,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
FUL01,Bernd Leno,FUL,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=29
FUL02,Benjamin Lacomte,FUL,MATCHED,score=0.94,ea_overall=74,attrs_from_ea=29
FUL03,Kenny Tete,FUL,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
FUL04,Timothy Castagne,FUL,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
FUL05,Calvin Bassey,FUL,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
FUL06,Jorge Cuenca,FUL,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
FUL07,David Affengruber,FUL,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
FUL08,Antonee Robinson,FUL,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
FUL09,Ryan Sessegnon,FUL,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
FUL10,Sasa Lukic,FUL,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
FUL11,Shea Charles,FUL,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
FUL12,Hugo Larsson,FUL,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
FUL13,Tom Cairney,FUL,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
FUL14,Josh King,FUL,MATCHED,score=0.96,ea_overall=68,attrs_from_ea=25
FUL15,Emile Smith Rowe,FUL,AMBIGUOUS(2),,
FUL15,Emile Smith Rowe,FUL,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
FUL16,Alex Iwobi,FUL,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
FUL17,Kevin,FUL,AMBIGUOUS(20),,
FUL17,Kevin,FUL,MATCHED,score=1.00,ea_overall=58,attrs_from_ea=25
FUL18,Adama Traore,FUL,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
FUL19,Rodrigo Muniz,FUL,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
FUL20,Raul Jimenez,FUL,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
HUL01,Jack Butland,HUL,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=29
HUL02,Konstantinos Tzolakis,HUL,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=29
HUL03,Semi Ajayi,HUL,MATCHED,score=0.90,ea_overall=70,attrs_from_ea=25
HUL04,John Egan,HUL,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
HUL05,Nobel Mendy,HUL,MATCHED,score=1.00,ea_overall=66,attrs_from_ea=25
HUL06,Charlie Hughes,HUL,MATCHED,score=0.94,ea_overall=71,attrs_from_ea=25
HUL07,Cody Drameh,HUL,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=25
HUL08,Lewie Coyle,HUL,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
HUL09,Ryan Giles,HUL,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
HUL10,Matt Targett,HUL,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
HUL11,Lucas Gourna-Douath,HUL,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
HUL12,Tim Iroegbunam,HUL,MATCHED,score=0.96,ea_overall=74,attrs_from_ea=25
HUL13,Merlin Rohl,HUL,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
HUL14,Regan Slater,HUL,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
HUL15,John Lundstram,HUL,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
HUL16,Kieran Dowell,HUL,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
HUL17,Matt Crooks,HUL,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=25
HUL18,Mohamed Belloumi,HUL,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
HUL19,Liam Millar,HUL,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
HUL20,Abu Kamara,HUL,AMBIGUOUS(2),,
HUL20,Abu Kamara,HUL,MATCHED,score=1.00,ea_overall=68,attrs_from_ea=25
HUL21,Kyle Joseph,HUL,MATCHED,score=1.00,ea_overall=66,attrs_from_ea=25
